[ 2014-11-07T09:36:06+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-07T09:36:06+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000680s ]
[ 2014-11-07T09:36:06+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000761s ]
[ 2014-11-07T09:36:06+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-07T09:36:06+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000516s ]
[ 2014-11-07T09:36:06+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000585s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000815s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000899s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.027726s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027784s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000493s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000526s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000332s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000520s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002021s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000466s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000516s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-07T09:36:07+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000892s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001006s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-07T09:36:07+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000694s ]
[ 2014-11-07T09:36:07+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000783s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000770s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000864s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000576s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000641s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001195s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001314s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.049206s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049296s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000597s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000458s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000371s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000825s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002437s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000856s ]
[ 2014-11-07T09:36:15+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000963s ]
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | INFO: Tag[ route_check ] --START--
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | INFO: Run CheckRoute Behavior [ RunTime:0.000604s ]
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000678s ]
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000459s ]
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000513s ]
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.010590s ]
[ 2014-11-07T09:36:17+08:00 ] /index.php/Product/index | SQL: SELECT COUNT(*) AS tp_count FROM `product` WHERE ( `is_del` = 0 ) LIMIT 1   [ RunTime:0.016505s ]
[ 2014-11-07T09:36:20+08:00 ] /index.php/Product/index | SQL: SELECT * FROM `product` WHERE ( `is_del` = 0 ) ORDER BY id DESC LIMIT 0,10   [ RunTime:2.771273s ]
[ 2014-11-07T09:36:20+08:00 ] /index.php/Product/index | NOTIC: [2048] Declaration of BaseModel::add() should be compatible with Model::add($data = '', $options = Array, $replace = false) BaseModel.class.php 第 177 行.
[ 2014-11-07T09:36:20+08:00 ] /index.php/Product/index | NOTIC: [2048] Declaration of BaseModel::delete() should be compatible with Model::delete($options = Array) BaseModel.class.php 第 177 行.
[ 2014-11-07T09:36:20+08:00 ] /index.php/Product/index | NOTIC: [2048] Declaration of BaseModel::select() should be compatible with Model::select($options = Array) BaseModel.class.php 第 177 行.
[ 2014-11-07T09:36:20+08:00 ] /index.php/Product/index | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.018248s ]
[ 2014-11-07T09:36:20+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=21 [ RunTime:0.013081s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=14 [ RunTime:0.451937s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=15 [ RunTime:0.015703s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=10 [ RunTime:0.015149s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=13 [ RunTime:0.016379s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.015700s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.014727s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.016446s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=8 [ RunTime:0.013251s ]
[ 2014-11-07T09:36:21+08:00 ] /index.php/Product/index | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.009786s ]
[ 2014-11-07T09:36:29+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `product` where is_del=0 order by `id` desc [ RunTime:8.630123s ]
[ 2014-11-07T09:36:29+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=21 [ RunTime:0.008324s ]
