[ 2014-11-20T14:23:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.142223s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.142346s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000198s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000240s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.005825s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.005881s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.217008s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.217048s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000621s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000827s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000514s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000728s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002801s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000742s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000782s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000202s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000287s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000100s ]
[ 2014-11-20T14:23:23+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000134s ]
[ 2014-11-20T14:24:07+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000099s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000165s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000093s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000124s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000329s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000373s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.115003s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.115043s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --START--
